[MESH] Max bdr attr: 1
  attr 1 : 380 bdr elements
[BC] ess_tdof_list size = 402
LAYER=10 / layers=129  idx=50003 / solSize=50311
LAYER=71 / layers=129  idx=35074 / solSize=50311
LAYER=111 / layers=129  idx=13107 / solSize=50311
LAYER=46 / layers=129  idx=43986 / solSize=50311
LAYER=128 / layers=129  idx=899 / solSize=50311
LAYER=87 / layers=129  idx=27511 / solSize=50311
LAYER=108 / layers=129  idx=15473 / solSize=50311
LAYER=20 / layers=129  idx=49066 / solSize=50311
LAYER=93 / layers=129  idx=24250 / solSize=50311
LAYER=13 / layers=129  idx=49804 / solSize=50311
LAYER=34 / layers=129  idx=46898 / solSize=50311
LAYER=110 / layers=129  idx=14056 / solSize=50311
LAYER=102 / layers=129  idx=19327 / solSize=50311
LAYER=22 / layers=129  idx=48912 / solSize=50311
LAYER=92 / layers=129  idx=24873 / solSize=50311
LAYER=104 / layers=129  idx=18060 / solSize=50311
LAYER=122 / layers=129  idx=5337 / solSize=50311
LAYER=127 / layers=129  idx=1762 / solSize=50311
LAYER=125 / layers=129  idx=3357 / solSize=50311
LAYER=54 / layers=129  idx=41603 / solSize=50311
LAYER=91 / layers=129  idx=25436 / solSize=50311
LAYER=103 / layers=129  idx=18748 / solSize=50311
LAYER=110 / layers=129  idx=14218 / solSize=50311
LAYER=53 / layers=129  idx=41900 / solSize=50311
LAYER=88 / layers=129  idx=27335 / solSize=50311
LAYER=72 / layers=129  idx=34612 / solSize=50311
LAYER=105 / layers=129  idx=17336 / solSize=50311
LAYER=121 / layers=129  idx=6624 / solSize=50311
LAYER=32 / layers=129  idx=47307 / solSize=50311
LAYER=68 / layers=129  idx=36581 / solSize=50311
LAYER=66 / layers=129  idx=37289 / solSize=50311
LAYER=93 / layers=129  idx=24444 / solSize=50311
LAYER=107 / layers=129  idx=15729 / solSize=50311
LAYER=96 / layers=129  idx=22663 / solSize=50311
LAYER=91 / layers=129  idx=25487 / solSize=50311
LAYER=70 / layers=129  idx=35683 / solSize=50311
LAYER=88 / layers=129  idx=26949 / solSize=50311
LAYER=122 / layers=129  idx=5950 / solSize=50311
LAYER=78 / layers=129  idx=32142 / solSize=50311
LAYER=57 / layers=129  idx=40543 / solSize=50311
LAYER=54 / layers=129  idx=41561 / solSize=50311
LAYER=104 / layers=129  idx=17900 / solSize=50311
LAYER=124 / layers=129  idx=4135 / solSize=50311
LAYER=89 / layers=129  idx=26814 / solSize=50311
LAYER=114 / layers=129  idx=11067 / solSize=50311
LAYER=52 / layers=129  idx=42298 / solSize=50311
LAYER=75 / layers=129  idx=33216 / solSize=50311
LAYER=114 / layers=129  idx=11100 / solSize=50311
LAYER=99 / layers=129  idx=21149 / solSize=50311
LAYER=111 / layers=129  idx=13278 / solSize=50311
LAYER=45 / layers=129  idx=44339 / solSize=50311
LAYER=86 / layers=129  idx=28084 / solSize=50311
LAYER=42 / layers=129  idx=45044 / solSize=50311
LAYER=127 / layers=129  idx=1631 / solSize=50311
LAYER=120 / layers=129  idx=7019 / solSize=50311
LAYER=93 / layers=129  idx=24433 / solSize=50311
LAYER=120 / layers=129  idx=6999 / solSize=50311
LAYER=73 / layers=129  idx=34380 / solSize=50311
LAYER=80 / layers=129  idx=30997 / solSize=50311
LAYER=75 / layers=129  idx=33322 / solSize=50311
LAYER=68 / layers=129  idx=36347 / solSize=50311
LAYER=125 / layers=129  idx=3628 / solSize=50311
LAYER=93 / layers=129  idx=24622 / solSize=50311
LAYER=54 / layers=129  idx=41416 / solSize=50311
LAYER=119 / layers=129  idx=7620 / solSize=50311
LAYER=54 / layers=129  idx=41649 / solSize=50311
LAYER=94 / layers=129  idx=24054 / solSize=50311
LAYER=65 / layers=129  idx=37477 / solSize=50311
LAYER=59 / layers=129  idx=39807 / solSize=50311
LAYER=87 / layers=129  idx=27419 / solSize=50311
LAYER=118 / layers=129  idx=8781 / solSize=50311
LAYER=110 / layers=129  idx=14124 / solSize=50311
LAYER=43 / layers=129  idx=44685 / solSize=50311
LAYER=121 / layers=129  idx=6166 / solSize=50311
LAYER=107 / layers=129  idx=15742 / solSize=50311
LAYER=128 / layers=129  idx=1142 / solSize=50311
LAYER=79 / layers=129  idx=31557 / solSize=50311
LAYER=78 / layers=129  idx=31971 / solSize=50311
LAYER=95 / layers=129  idx=23270 / solSize=50311
LAYER=108 / layers=129  idx=15553 / solSize=50311
LAYER=105 / layers=129  idx=17447 / solSize=50311
LAYER=26 / layers=129  idx=48342 / solSize=50311
LAYER=12 / layers=129  idx=49860 / solSize=50311
LAYER=111 / layers=129  idx=13416 / solSize=50311
LAYER=103 / layers=129  idx=18788 / solSize=50311
LAYER=101 / layers=129  idx=19848 / solSize=50311
LAYER=79 / layers=129  idx=31788 / solSize=50311
LAYER=64 / layers=129  idx=37957 / solSize=50311
LAYER=127 / layers=129  idx=1928 / solSize=50311
LAYER=125 / layers=129  idx=3474 / solSize=50311
LAYER=89 / layers=129  idx=26534 / solSize=50311
LAYER=123 / layers=129  idx=5026 / solSize=50311
LAYER=105 / layers=129  idx=16937 / solSize=50311
LAYER=87 / layers=129  idx=27800 / solSize=50311
LAYER=110 / layers=129  idx=13730 / solSize=50311
LAYER=85 / layers=129  idx=28601 / solSize=50311
LAYER=107 / layers=129  idx=15763 / solSize=50311
LAYER=120 / layers=129  idx=7400 / solSize=50311
LAYER=35 / layers=129  idx=46713 / solSize=50311
LAYER=87 / layers=129  idx=27638 / solSize=50311
LAYER=97 / layers=129  idx=22246 / solSize=50311
LAYER=58 / layers=129  idx=40232 / solSize=50311
LAYER=17 / layers=129  idx=49450 / solSize=50311
LAYER=96 / layers=129  idx=22647 / solSize=50311
LAYER=63 / layers=129  idx=38516 / solSize=50311
LAYER=100 / layers=129  idx=20461 / solSize=50311
LAYER=118 / layers=129  idx=8688 / solSize=50311
LAYER=115 / layers=129  idx=10852 / solSize=50311
LAYER=53 / layers=129  idx=42011 / solSize=50311
LAYER=120 / layers=129  idx=6911 / solSize=50311
LAYER=117 / layers=129  idx=9549 / solSize=50311
LAYER=61 / layers=129  idx=39148 / solSize=50311
LAYER=116 / layers=129  idx=9595 / solSize=50311
LAYER=26 / layers=129  idx=48224 / solSize=50311
LAYER=80 / layers=129  idx=31185 / solSize=50311
LAYER=94 / layers=129  idx=23898 / solSize=50311
LAYER=38 / layers=129  idx=46066 / solSize=50311
LAYER=76 / layers=129  idx=33131 / solSize=50311
LAYER=87 / layers=129  idx=27805 / solSize=50311
LAYER=121 / layers=129  idx=6635 / solSize=50311
LAYER=102 / layers=129  idx=19152 / solSize=50311
LAYER=77 / layers=129  idx=32529 / solSize=50311
LAYER=111 / layers=129  idx=13474 / solSize=50311
LAYER=114 / layers=129  idx=11302 / solSize=50311
LAYER=111 / layers=129  idx=13314 / solSize=50311
LAYER=83 / layers=129  idx=29702 / solSize=50311
LAYER=90 / layers=129  idx=25747 / solSize=50311
LAYER=106 / layers=129  idx=16596 / solSize=50311
LAYER=65 / layers=129  idx=37610 / solSize=50311
LAYER=88 / layers=129  idx=26995 / solSize=50311
LAYER=84 / layers=129  idx=28914 / solSize=50311
LAYER=120 / layers=129  idx=6902 / solSize=50311
LAYER=52 / layers=129  idx=42073 / solSize=50311
LAYER=107 / layers=129  idx=16090 / solSize=50311
LAYER=68 / layers=129  idx=36488 / solSize=50311
LAYER=101 / layers=129  idx=19663 / solSize=50311
LAYER=101 / layers=129  idx=19685 / solSize=50311
LAYER=65 / layers=129  idx=37623 / solSize=50311
LAYER=104 / layers=129  idx=18088 / solSize=50311
LAYER=82 / layers=129  idx=30163 / solSize=50311
LAYER=120 / layers=129  idx=6764 / solSize=50311
LAYER=24 / layers=129  idx=48633 / solSize=50311
LAYER=117 / layers=129  idx=9313 / solSize=50311
LAYER=23 / layers=129  idx=48660 / solSize=50311
LAYER=56 / layers=129  idx=40811 / solSize=50311
LAYER=83 / layers=129  idx=29830 / solSize=50311
LAYER=103 / layers=129  idx=18296 / solSize=50311
LAYER=69 / layers=129  idx=35866 / solSize=50311
LAYER=50 / layers=129  idx=42663 / solSize=50311
LAYER=32 / layers=129  idx=47245 / solSize=50311
LAYER=118 / layers=129  idx=8555 / solSize=50311
LAYER=80 / layers=129  idx=30924 / solSize=50311
LAYER=45 / layers=129  idx=44278 / solSize=50311
LAYER=113 / layers=129  idx=11956 / solSize=50311
LAYER=79 / layers=129  idx=31591 / solSize=50311
LAYER=127 / layers=129  idx=1970 / solSize=50311
LAYER=127 / layers=129  idx=1718 / solSize=50311
LAYER=67 / layers=129  idx=36900 / solSize=50311
LAYER=105 / layers=129  idx=17249 / solSize=50311
LAYER=72 / layers=129  idx=34756 / solSize=50311
LAYER=129 / layers=129  idx=540 / solSize=50311
LAYER=97 / layers=129  idx=22031 / solSize=50311
LAYER=75 / layers=129  idx=33575 / solSize=50311
LAYER=120 / layers=129  idx=6861 / solSize=50311
LAYER=128 / layers=129  idx=1018 / solSize=50311
LAYER=65 / layers=129  idx=37736 / solSize=50311
LAYER=88 / layers=129  idx=26938 / solSize=50311
LAYER=100 / layers=129  idx=20275 / solSize=50311
LAYER=29 / layers=129  idx=47827 / solSize=50311
LAYER=34 / layers=129  idx=46941 / solSize=50311
LAYER=77 / layers=129  idx=32520 / solSize=50311
LAYER=118 / layers=129  idx=8701 / solSize=50311
LAYER=88 / layers=129  idx=27030 / solSize=50311
LAYER=53 / layers=129  idx=41938 / solSize=50311
LAYER=58 / layers=129  idx=40131 / solSize=50311
LAYER=82 / layers=129  idx=30155 / solSize=50311
LAYER=129 / layers=129  idx=493 / solSize=50311
LAYER=77 / layers=129  idx=32483 / solSize=50311
LAYER=107 / layers=129  idx=15686 / solSize=50311
LAYER=58 / layers=129  idx=40109 / solSize=50311
LAYER=35 / layers=129  idx=46675 / solSize=50311
LAYER=100 / layers=129  idx=20386 / solSize=50311
LAYER=115 / layers=129  idx=10919 / solSize=50311
LAYER=112 / layers=129  idx=12457 / solSize=50311
LAYER=92 / layers=129  idx=24707 / solSize=50311
LAYER=125 / layers=129  idx=3162 / solSize=50311
LAYER=20 / layers=129  idx=49167 / solSize=50311
LAYER=99 / layers=129  idx=21121 / solSize=50311
LAYER=22 / layers=129  idx=48859 / solSize=50311
LAYER=89 / layers=129  idx=26615 / solSize=50311
LAYER=58 / layers=129  idx=40317 / solSize=50311
LAYER=107 / layers=129  idx=16224 / solSize=50311
LAYER=111 / layers=129  idx=13140 / solSize=50311
LAYER=85 / layers=129  idx=28769 / solSize=50311
LAYER=46 / layers=129  idx=43863 / solSize=50311
LAYER=74 / layers=129  idx=33702 / solSize=50311
LAYER=37 / layers=129  idx=46174 / solSize=50311
LAYER=112 / layers=129  idx=12645 / solSize=50311
LAYER=71 / layers=129  idx=34979 / solSize=50311
LAYER=46 / layers=129  idx=43925 / solSize=50311
LAYER=129 / layers=129  idx=0 / solSize=50311
